No of Cells,mAh,Volts (V),Mass (g),Max Constant C,link
3S,1300,11.2,161,45,https://hobbyking.com/en_us/turnigy-nano-tech-1300mah-3s-45-90c-lipo-pack.html
3S,1600,11.1,191,30,https://hobbyking.com/en_us/turnigy-1600mah-3s-30c-lipo-pack.html
3S,1500,7.4,94,3,https://hobbyking.com/en_us/quanum-fpv-headset-battery-7-4v-1500mah-3c.html
3S,5200,11.4,364,10,https://hobbyking.com/en_us/multistar-lihv-high-capacity-5200mah-3s-multi-rotor-lipo-pack.html
3S,3000,11.1,480,15,https://hobbyking.com/en_us/turnigy-graphene-3000mah-3s-15c-w-xt60.html
4S,1300,14.8,363,65,https://hobbyking.com/en_us/graphene-1300mah-4s-65c-w-xt60.html
4S,1500,14.8,343,65,https://hobbyking.com/en_us/graphene-1500mah-4s-65c-w-xt60.html
4S,1800,14.8,511,65,https://hobbyking.com/en_us/graphene-1800mah-4s-65c-w-xt60.html
3S,1600,11.1,205,40,https://hobbyking.com/en_us/multistar-racer-1600mah-3s-40c.html
3S,2200,11.1,270,40,https://hobbyking.com/en_us/multistar-racer-2200mah-3s-40c.html
3S,5200,11.1,436,10,https://hobbyking.com/en_us/multistar-high-capacity-3s-5200mah-multi-rotor-lipo-pack.html
6S,12000,22.2,1602,10,https://hobbyking.com/en_us/multistar-high-capacity-6s-12000mah-multi-rotor-lipo-pack.html
4S,20000,14.8,1735,10,https://hobbyking.com/en_us/multistar-high-capacity-4s-20000mah-multi-rotor-lipo-pack.html
6S,20000,22.2,2519,10,https://hobbyking.com/en_us/multistar-high-capacity-6s-20000mah-multi-rotor-lipo-pack.html
6S,5200,22.2,697,10,https://hobbyking.com/en_us/multistar-high-capacity-6s-5200mah-multi-rotor-lipo-pack.html
4S,8000,14.8,705,10,https://hobbyking.com/en_us/multistar-high-capacity-4s-8000mah-multi-rotor-lipo-pack.html
6S,8000,22.2,1025,10,https://hobbyking.com/en_us/multistar-high-capacity-6s-8000mah-multi-rotor-lipo-pack.html
4S,10000,14.8,889,10,https://hobbyking.com/en_us/multistar-high-capacity-4s-10000mah-multi-rotor-lipo-pack.html
4S,7000,22.2,914,15,http://www.genstattu.com/tattu-7000mah-6s1p-15c-22-2v-lipo-battery-pack.html
6S,12000,22.2,1670,15,http://www.genstattu.com/tattu-plus-12000mah-22-2v-15c-6s1p-lipo-smart-battery-pack-with-ec5-plug.html
6S,5200,22.2,635.5,15,http://www.genstattu.com/ta-15c-5200-6s1p-xt60.html
6S,8000,22.2,942,15,http://www.genstattu.com/tattu-8000mah-22-2v-15c-6s1p-lipo-battery-pack-with-xt60-plug.html
6S,12000,22.2,1670,15,http://www.genstattu.com/tattu-plus-12000mah-22-2v-15c-6s1p-lipo-smart-battery-pack-with-as150-xt150-plug.html
6S,7000,22.2,914,15,http://www.genstattu.com/tattu-7000mah-6s1p-15c-22-2v-lipo-battery-pack.html
7S,7000,22.2,870,25,http://www.genstattu.com/tattu-7000mah-6s1p-25c-22-2v-lipo-battery-pack-with-xt60-plug.html
6S,8000,22.2,942,15,http://www.genstattu.com/tattu-8000mah-22-2v-15c-6s1p-lipo-battery-pack-with-xt60-plug.html
6S,8000,22.2,1160,25,http://www.genstattu.com/tattu-8000mah-22-2v-25c-6s1p-lipo-battery-pack-with-xt60-plug.html
6S,10000,22.2,1319,20,http://www.genstattu.com/tattu-10000mah-22-2v-20c-6s1p-lipo-battery-pack-with-xt60-plug.html
