d,pitch,omega,velocity,power,j,ct,cp,eta,company
11.0,7.0,5989,2.5099899,113.673136722,0.09,0.118,0.0548,0.193,apcsp
19.0,12.0,2991,3.58458389,164.860366589,0.149,0.093,0.0415,0.335,apce
19.0,12.0,2991,4.30631219,166.44938217,0.179,0.0913,0.0419,0.39,apce
19.0,12.0,2991,4.78746439,168.038397752,0.199,0.0904,0.0423,0.425,apce
19.0,12.0,2991,5.5332503,169.230159438,0.23,0.0882,0.0426,0.475,apce
19.0,12.0,2991,6.13469055,170.024667229,0.255,0.0862,0.0428,0.514,apce
19.0,12.0,2991,6.7361308,170.421921124,0.28,0.0841,0.0429,0.548,apce
19.0,12.0,2991,7.38568627,170.81917502,0.307,0.0816,0.043,0.583,apce
19.0,12.0,2991,7.89089608,170.421921124,0.328,0.0795,0.0429,0.608,apce
11.0,8.0,5712,3.08547008,139.289988788,0.116,0.1471,0.0774,0.221,gwssf
11.0,8.0,5712,3.67064544,137.49037653,0.138,0.1445,0.0764,0.262,gwssf
11.0,8.0,5712,4.30901856,135.870725497,0.162,0.1413,0.0755,0.303,gwssf
17.0,12.0,3398,3.57032390667,160.32708206,0.146,0.096,0.048,0.292,apce
17.0,12.0,3398,4.30395210667,159.325037797,0.176,0.0952,0.0477,0.35,apce
17.0,12.0,3398,4.91530894,159.659052551,0.201,0.0946,0.0478,0.399,apce
17.0,12.0,3398,5.55112004667,159.993067305,0.227,0.0933,0.0479,0.443,apce
17.0,12.0,3398,6.13802260667,160.32708206,0.251,0.0918,0.048,0.481,apce
17.0,12.0,3398,6.77383371333,161.663141077,0.277,0.0903,0.0484,0.517,apce
17.0,12.0,3398,7.31182772667,162.331170585,0.299,0.0886,0.0486,0.546,apce
17.0,12.0,3001,3.62832904,109.521773189,0.168,0.0945,0.0476,0.334,apce
17.0,12.0,3001,4.18985615333,109.061597671,0.194,0.0937,0.0474,0.384,apce
11.0,8.0,5994,2.42834922,123.107998052,0.087,0.1236,0.0592,0.182,apcsp
11.0,8.0,5994,3.01450248,124.147761549,0.108,0.1227,0.0597,0.222,apcsp
19.0,12.0,2502,3.7230177,95.802768071,0.185,0.0893,0.0412,0.402,apce
19.0,12.0,2502,4.2261282,96.2678300519,0.21,0.0875,0.0414,0.444,apce
11.0,7.0,5899,2.52721025333,131.420484321,0.092,0.1215,0.0663,0.168,mae
